,Wealth_Index_VI_OLS,Wealth_Index_VI_KNN,Wealth_Index_VI_LSTM,Wealth_Index_VI_Portfolio
2011-01-31,99.90343511317349,99.0836922817485,104.41459956875279,97.5118791229342
2011-02-28,97.53896826235989,104.53360254415152,108.5871754661116,98.7940022335945
2011-03-31,99.37595491615019,105.71253775995767,116.15084519825994,98.08841536923183
2011-04-30,102.52532008414931,99.58859282831442,118.28266804108414,98.35484828841058
2011-05-31,102.35019661192052,96.62731382373563,114.30290132333253,95.23791627590779
2011-06-30,102.6588690630134,95.48046654071402,117.18677548581867,95.87416915105477
2011-07-31,103.59150893414402,96.81149565193395,118.82039768387432,89.96710936331195
2011-08-31,101.12648548403918,88.32633648931565,110.19179185750922,82.75781601265628
2011-09-30,101.71586649687558,86.45133743508569,112.96440939955893,82.9205864477787
2011-10-31,103.05370790987124,92.11635031580772,129.7365076801804,91.79312047519755
2011-11-30,105.36360236431366,86.53052147006552,124.44149558822197,87.13680299327724
2011-12-31,106.61951226342094,81.40294199574934,135.59098342210999,88.45861406448206
2012-01-31,109.95180109410528,94.81380892844734,155.0772589340389,95.47257871106014
2012-02-29,108.18871005727482,89.43416097358944,164.068517827583,95.5317786788465
2012-03-31,111.35205721091825,86.34257605180873,161.6200243990574,92.91752900215123
2012-04-30,111.02107527303042,79.5934671466614,164.15390706849055,86.29970740524956
2012-05-31,107.58418220047592,70.19994613006502,162.02636061295712,80.64796437387609
2012-06-30,109.79023044043356,68.00382639841108,177.99138562098196,84.88178984458708
2012-07-31,108.07852191974891,61.47696749759996,203.01075152394301,86.77411135100226
2012-08-31,113.79714271369548,65.41767180348265,200.04094142168185,82.20365548353077
2012-09-30,116.52128308762673,71.92933722978772,226.04253129888298,87.25922777792292
2012-10-31,113.92973119702177,77.18424554583719,242.5564159424837,89.55801720622611
2012-11-30,112.72035435202024,79.04336178232928,278.8149368112993,97.3303826768922
2012-12-31,115.73554796001187,87.62202229204671,303.24276276700846,106.87577354995521
2013-01-31,115.89900213869207,81.93211005200762,314.4240090785227,105.37605261106341
2013-02-28,118.66197275405892,78.15281764242373,332.84327243031873,106.0322212838342
2013-03-31,121.26334612136989,71.68456024356507,350.65189977399547,104.48098676107085
2013-04-30,124.55976946553513,81.53119012904969,353.2812383051524,101.48233660921329
2013-05-31,123.08492153640972,73.29760468570794,374.6909739211057,99.43318426487549
2013-06-30,126.8382345839042,70.04791916601617,358.0788644595254,91.6795626086658
2013-07-31,125.50541457947735,73.8632437433894,377.5824715398786,94.79029377542383
2013-08-31,125.10968259697417,76.17576694659311,418.9687203307368,100.2416824668562
2013-09-30,124.02301807492562,76.26432488079266,454.74115348117357,104.57937347054542
2013-10-31,127.22470015376308,84.86265246651341,500.3653372848661,113.24919960115847
2013-11-30,128.90966635100142,84.44436803494716,497.89905766010133,109.98548615955129
2013-12-31,128.01767780338088,77.45907812358114,501.7991311971266,108.08662679186574
2014-01-31,127.08225550821078,72.1132733096897,481.06672196976086,102.12398910873
2014-02-28,128.17186225490877,72.00424385787987,504.76626752709,104.56233473525648
2014-03-31,130.1207365861667,78.33390275309466,541.2343727772044,105.80628426288314
2014-04-30,133.65308836625144,78.21933910034288,618.0106571936552,113.23343784194758
2014-05-31,138.17182032897074,78.2194693215533,586.33703527126,107.7082380836857
2014-06-30,138.8025241573291,86.51380596330775,616.3247923431672,112.78119915567922
2014-07-31,139.60658339081053,95.84734649335628,686.3172580092352,124.40506645281629
2014-08-31,140.38561178589651,85.74723894885973,796.800796262859,127.86372965905501
2014-09-30,148.57754484313404,66.43121654655181,734.6876265071287,112.61936582702295
2014-10-31,146.86816996313345,64.15625649382952,797.5224424035335,115.50695716318293
2014-11-30,150.81408567694757,60.14663918976876,871.7124303757948,117.2700494926308
2014-12-31,155.69856190665917,60.594078332307255,878.1972193455805,111.82774620721077
2015-01-31,152.69738149531776,51.001919586849354,830.6171430230846,99.94710059813265
2015-02-28,156.0709150520403,65.98252297503694,1029.206408181891,122.62291726395705
2015-03-31,156.1944111302915,55.704739847914055,996.0614563463747,111.09822619971703
2015-04-30,161.31191417629591,78.92610519130955,1327.0646426503333,134.20691720114453
2015-05-31,155.02999181784963,75.9095135003184,1260.4299935326362,123.96797789242345
2015-06-30,154.73191234168405,67.75413310604657,1225.1971255288001,115.5760520924293
2015-07-31,157.82258394008218,54.88008630668049,1171.6087231399183,109.29676710919338
2015-08-31,159.65466521023427,48.03317341438394,1174.8858893446627,103.68591577640001
2015-09-30,157.2091454384583,43.278702795394246,1126.0585613076196,96.39978870801139
2015-10-31,160.41485475378957,46.35167417793204,1225.1795576752606,100.27297893400808
2015-11-30,159.1510101217838,37.95193309279117,1346.0372870106526,96.13307212631025
2015-12-31,168.67285922225392,34.5850811739066,1513.7264381776745,99.45144063803612
2016-01-31,164.22767956009542,26.110162041685342,1443.9664456524156,84.97476889126968
2016-02-29,171.98689234355444,25.54562512865176,1717.3173040824886,95.84953668162946
2016-03-31,171.16943661430057,41.659257537574106,2348.0865135887475,123.82707216690594
2016-04-30,169.22438068118524,50.29610744516591,3245.646759907279,149.60754130550762
2016-05-31,160.59267081022762,37.87800216196126,2856.473715958146,122.16906276194838
2016-06-30,166.8411157100838,44.37949380116752,3268.2728109723353,133.6361614434311
2016-07-31,165.44333730797248,55.92191246638068,3716.229299355026,150.52696598964488
2016-08-31,167.73760328354308,60.53881208581852,3987.8797350919585,149.68208880978776
2016-09-30,175.67097084537147,64.6240199053623,4279.349049621259,155.20089039252608
2016-10-31,175.77486684931029,82.42362309005652,5180.015335605885,185.93750587369334
2016-11-30,177.63797367740733,71.00094085166101,6771.369976186575,204.2776715817265
2016-12-31,166.81103359428292,62.896047006410754,6640.674637068161,190.6469285171683
2017-01-31,171.4009671877243,63.7292325334536,8526.381388845306,227.05931410519514
2017-02-28,167.04263349275678,61.300509546801116,9195.252819359857,234.7597909830053
2017-03-31,172.15194117631384,58.514079640395984,8709.245739895225,218.04491627150605
2017-04-30,175.02689343435068,58.62132510565357,8725.208173503646,218.51753547208062
2017-05-31,177.1601544594923,55.33386758279176,8835.769536622085,210.2486076166506
2017-06-30,175.17391086925548,58.45601339787854,9218.952229722996,220.73906590953763
2017-07-31,177.09385361453042,62.80352636054634,9365.724874886944,231.24983355688457
2017-08-31,177.71326948497094,70.38807882826649,10496.789256590777,255.90578345371208
2017-09-30,179.7665440970038,64.30664992699869,11584.079444660143,258.10459722948957
2017-10-31,188.22330310453,64.31575420563289,11585.719472357194,253.60426130912197
2017-11-30,189.47253177081797,55.562385047466684,12707.46570039915,260.8002314346922
2017-12-31,186.62695296286412,57.939855308156154,15039.771623614488,289.1110541152742
2018-01-31,183.18708627163127,61.59264309808172,19402.83162309785,340.1602537735128
2018-02-28,193.40046798614273,65.1375358502415,21505.8111276481,360.6454698664078
2018-03-31,192.02425363908728,62.72255777026389,22203.519977123,359.8101689990696
2018-04-30,195.62569025708464,67.29278391280006,25601.68113167653,386.3443083977006
2018-05-31,191.39118842102312,55.419662168814966,27060.167723334147,365.74204892747036
2018-06-30,184.30813905433297,54.28132336384032,26504.342628356808,350.8117722580459
