,Wealth_Index_PV_OLS,Wealth_Index_PV_KNN,Wealth_Index_PV_LSTM,Wealth_Index_PV_Portfolio
2011-01-31,97.23509315800545,99.0836922817485,104.41459956875279,101.61944346687768
2011-02-28,95.6397905778339,97.72972785281976,110.1577262592311,105.23686156709553
2011-03-31,95.78179629034835,98.83192862838547,111.4000906245584,102.67475217958504
2011-04-30,93.34500384550084,100.64588153325438,113.44471851754318,100.2274770687122
2011-05-31,92.61787917347189,97.65316391954579,107.6548154991398,95.51177681107681
2011-06-30,91.57455437954465,96.49414105853685,106.09269392029931,93.83997296129458
2011-07-31,89.848241943246,97.8393011259765,107.57166097200984,94.13657343337144
2011-08-31,89.272115293906,89.2640587250327,98.1434142685773,84.74579281015954
2011-09-30,88.11990298894234,83.76912454749397,96.0600174444065,81.04583202968159
2011-10-31,87.63093990744781,89.25837646247669,108.64270695559073,88.23136154207786
2011-11-30,86.91808702620946,92.99936171225758,113.19612569705744,87.45984829481685
2011-12-31,86.3067427684163,90.8912961415208,110.63024942727108,83.22223721581243
2012-01-31,84.75560719834209,105.86533820941106,128.8562191210666,97.40807370037078
2012-02-29,84.51840538876604,106.2417404403339,129.3143649992719,91.98148313307493
2012-03-31,83.72441414103093,104.65623088159789,124.84419010581641,89.00717218748413
2012-04-30,81.85498273920425,106.29703381220693,126.80150035165246,86.33181897104679
2012-05-31,80.67140097679635,93.75199139965632,117.122770383262,77.13547045217865
2012-06-30,78.80832147416876,102.98970359405062,128.66328731584065,79.93382115064249
2012-07-31,78.01133850085641,107.79811721347738,134.67035677482534,77.57078343481597
2012-08-31,77.49857847425805,98.01946647466143,143.3027938714995,76.47048564019637
2012-09-30,77.24705258970994,110.76016819873345,161.92948322830114,86.09090213679748
2012-10-31,76.02868305311947,118.8519225700434,173.75949057720248,86.60252321756417
2012-11-30,76.43950490569054,121.71467697576016,177.94478885785784,82.02556574924762
2012-12-31,75.90004310940247,134.92450091645182,197.25732692131578,86.02139382092676
2013-01-31,75.47545772138218,126.16290709376088,184.44802568028675,80.60971819754123
2013-02-28,74.51881527852994,119.10600016693587,175.93996915673625,70.08503300897868
2013-03-31,73.18056320263486,131.0828337869581,193.631804452596,72.77157788491581
2013-04-30,70.8212980317384,149.08844258549348,220.22917362142476,78.66206810897894
2013-05-31,68.75819877045308,150.92546195214075,222.94276596988118,74.45484402842793
2013-06-30,66.42496073873292,121.79421445020613,213.058488285789,64.6405809386855
2013-07-31,66.01205315676182,128.4280226390321,224.66321968185207,67.32592804314335
2013-08-31,65.73222401947315,132.44886937203134,249.2882184695046,72.30703183663482
2013-09-30,66.76788350717206,132.6028474510033,272.4370054417969,74.59023093426819
2013-10-31,66.80396160467241,141.2848519627261,303.1525808162971,82.70562920239985
2013-11-30,66.17137300037432,140.58846489168243,301.65835454291226,80.36864557395667
2013-12-31,64.95872367093803,141.68970286974135,304.02126274222553,76.06190928649367
2014-01-31,64.0753807671305,131.91104923702636,263.97574199617424,68.3218129976588
2014-02-28,63.498874428495085,131.71161037194798,263.57663196940655,66.33516234471793
2014-03-31,63.51679401311656,125.32964875413468,286.7467964448346,67.83442742805408
2014-04-30,62.08218624651075,150.98757930985195,345.45061843263255,73.29693069527666
2014-05-31,60.90804398774038,150.98783067716806,329.4429162696471,71.57541424393816
2014-06-30,60.21258448013972,166.99847236659676,364.37680773532134,77.00245162722479
2014-07-31,59.88935952306831,185.01509980466014,405.75698831829806,85.60305617715306
2014-08-31,60.16458876783379,226.1837655685167,496.04407218908335,90.96640774785759
2014-09-30,58.77715625483319,208.55201784356476,457.37585071300947,77.37503590033205
2014-10-31,58.56496184379709,201.4100816549317,441.7128560616496,70.21899473704423
2014-11-30,58.49612919169195,188.82241845962704,414.1068265349544,62.81368280946602
2014-12-31,57.73300478662541,190.2270944672267,417.18742431863996,58.68002353400546
2015-01-31,56.95732907777804,160.1137807897749,351.1458553929274,48.595499814483304
2015-02-28,56.304126972698434,198.3948087410074,454.2866162438912,61.31872837882184
2015-03-31,55.57887926967647,201.71178373823437,461.8818620934081,56.866479603894106
2015-04-30,55.228548000994934,268.74303236953637,654.4243188832942,82.25683717811208
2015-05-31,54.82789005902603,255.2488911730638,629.4119233274666,78.75385080943894
2015-06-30,54.79564883633827,262.91077346319116,648.3051692349209,76.78111647330653
2015-07-31,53.91781904119952,245.84206377044774,606.21586045456,67.15130988852523
2015-08-31,54.409541399363334,215.17047942758987,607.9115375961038,64.46175194276672
2015-09-30,54.55421990235052,193.87224635673368,547.7385917132486,54.09823905377705
2015-10-31,55.662469953728014,210.93779772965425,595.9531311920653,59.029259180402825
2015-11-30,56.311402268523366,213.1449409255411,602.1888742060501,53.998465772497624
2015-12-31,55.5648374255678,239.69851010543127,677.2094862888697,56.948786467997614
2016-01-31,56.395441929980386,180.96146452665437,511.262336909287,44.22934729896163
2016-02-29,57.259894320027996,215.21847362825739,608.0471334659513,47.82814909634572
2016-03-31,60.40733110912038,350.973670621478,991.5902233933181,67.52765496037605
2016-04-30,61.122034765653844,423.7379754567289,1370.6273500091027,88.75117595671506
2016-05-31,62.817456308135455,338.4913751961694,1094.887792593986,67.49240255879599
2016-06-30,64.52976478790006,387.28945837024656,1282.8175519033987,76.76625777891229
2016-07-31,65.2845003442577,440.3721830365377,1616.4585195424509,90.36405921783467
2016-08-31,66.96191069077439,476.7292043650679,1749.9129454474885,88.90828159719072
2016-09-30,68.59357623258323,508.89927520683256,1877.8119696350288,93.13665973501494
2016-10-31,70.34279452543637,616.0063176158578,2395.0238045521437,112.35926137428211
2016-11-30,71.84826757232698,805.2498716699998,3130.800052061935,126.788807217034
2016-12-31,76.40646365747911,752.9367106801747,2927.407225918662,114.163734058169
2017-01-31,77.01088885358985,966.7429753426647,3758.6829430426665,127.08724287260915
2017-02-28,78.73946177991984,929.900371202296,3718.76801492769,121.61903477256715
2017-03-31,80.45800115066531,887.6315185703766,3549.7304899807527,113.08773746413074
2017-04-30,80.92589460610989,889.2583826648203,3556.236488199927,108.64528522256566
2017-05-31,82.66942606128202,900.526608820213,3601.2992931082285,107.11483327616071
2017-06-30,83.20318894018054,838.274957253279,3804.4982019867675,107.25013240734617
2017-07-31,85.8415575168604,904.760018409278,4087.4477958464145,113.94065403249141
2017-08-31,88.32044383351744,1014.024580894602,4581.073935383374,121.52269721890181
2017-09-30,91.58486667546565,926.4143137086766,5352.199508870295,127.28595507267144
2017-10-31,91.0557683532803,926.5454717468,5826.576615646414,133.4403818672064
2017-11-30,92.4128810608254,1016.2549533651967,6390.714247029013,130.24616830142614
2017-12-31,94.96380744060751,1059.7396944690936,7563.654709221582,146.48519513368436
2018-01-31,96.49480242709623,1375.4114769905882,9816.691352935513,176.895439599847
2018-02-28,96.50518762105452,1524.4857050528008,10880.67526614658,191.7234396718716
2018-03-31,97.66674670133708,1467.9653053648829,10962.850738856394,190.4249743901138
2018-04-30,96.66795037098926,1692.6316052156699,12640.671803369309,210.1734925094556
2018-05-31,97.35048158243494,1789.0581050273756,13360.790542444915,206.12749064110093
